TweetID,Expert,Amateur_Majority
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
racism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
both,racism,link
neither,neither,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
sexism,sexism,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,neither
neither,neither,racism
neither,neither,neither
neither,neither,link
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
racism,racism,neither
sexism,sexism,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
sexism,neither,neither
neither,neither,neither
neither,sexism,neither
neither,neither,neither
neither,neither,neither
neither,sexism,sexism
neither,neither,neither
neither,neither,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,sexism
neither,neither,neither
sexism,sexism,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,sexism
neither,neither,racism
sexism,sexism,sexism
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
sexism,neither,neither
neither,neither,neither
neither,racism,racism
neither,neither,neither
neither,neither,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,sexism
sexism,sexism,sexism
neither,sexism,neither
neither,racism,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,sexism,sexism
neither,neither,neither
neither,neither,neither
both,sexism,both
neither,neither,neither
sexism,sexism,sexism
neither,sexism,neither
neither,neither,neither
sexism,neither,neither
neither,neither,neither
sexism,neither,neither
neither,neither,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,racism
sexism,sexism,sexism
neither,sexism,sexism
neither,neither,neither
sexism,sexism,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,sexism
sexism,neither,neither
sexism,sexism,racism
neither,neither,neither
neither,neither,neither
neither,neither,neither
sexism,neither,sexism
neither,neither,neither
neither,neither,neither
neither,neither,racism
sexism,sexism,sexism
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,neither,neither
neither,sexism,sexism
neither,neither,neither
neither,sexism,sexism
sexism,sexism,sexism
neither,neither,both
neither,neither,neither
neither,neither,neither
sexism,sexism,sexism
neither,neither,neither
neither,neither,neither
sexism,neither,neither
neither,neither,both
both,both,both
neither,neither,neither
neither,neither,neither
sexism,sexism,sexism
sexism,sexism,sexism
neither,neither,neither
